height,width,example,answer,ans_mod10,tree_sig,ans_sublabels
5,17,(*3(+(+7(+00))1)),24,4,(od(o(od(odd))d)),____________07_84
3,13,(*(*67)(*67)),1764,4,(o(odd)(odd)),______2____24
3,9,(+7(+90)),16,6,(od(odd)),_______96
1,1,4,4,4,d,_
5,21,(*(+(*4(+12))0)(*81)),96,6,(o(o(od(odd))d)(odd)),___________32_2____86
6,29,(*(+(+(+(*64)(+44))3)(*78))1),91,1,(o(o(o(o(odd)(odd))d)(odd))d),____________4____82_5____61_1
5,21,(+5(+(*10)(*3(+94)))),44,4,(od(o(odd)(od(odd)))),_________0_______3994
3,9,(*(+77)6),84,4,(o(odd)d),______4_4
3,9,(+7(+00)),7,7,(od(odd)),_______07
3,9,(+4(+74)),15,5,(od(odd)),_______15
5,29,(*(+(+41)(*40))(*7(*(+17)8))),2240,0,(o(o(odd)(odd))(od(o(odd)d))),________5____05_________8_480
2,5,(*60),0,0,(odd),____0
8,45,(+(*(+(+62)(+72))(*(*(*7(+(+10)(+18)))6)8))4),57124,4,(o(o(o(odd)(odd))(o(o(od(o(odd)(odd)))d)d))d),__________8____97_____________1____900_0_00_4
2,5,(*15),5,5,(odd),____5
1,1,0,0,0,d,_
2,5,(+06),6,6,(odd),____6
2,5,(*56),30,0,(odd),____0
2,5,(*55),25,5,(odd),____5
1,1,7,7,7,d,_
7,25,(*(*(*(*4(+9(+73)))6)0)4),0,0,(o(o(o(od(od(odd)))d)d)d),________________096_6_0_0
9,33,(+(+2(*6(+9(+3(+(*5(*36))0)))))6),620,0,(o(od(od(od(od(o(od(odd))d)))))d),_______________________80_03224_0
4,17,(*(*1(+00))(+10)),0,0,(o(od(odd))(odd)),_________00____10
6,29,(*(*(+72)7)(+(*1(*4(+79)))4)),4284,4,(o(o(odd)d)(o(od(od(odd)))d)),________9_3____________644_84
2,5,(+44),8,8,(odd),____8
5,17,(+(*5(*1(*67)))2),212,2,(o(od(od(odd)))d),____________220_2
10,57,(*(*4(*(+(+(*03)(+(+(*4(+31))(+00))(+9(*36))))8)6))(*46)),29376,6,(o(od(o(o(o(odd)(o(o(od(odd))(odd))(od(odd))))d)d))(odd)),_______________0___________46____06_______8733_1_64____46
2,5,(*99),81,1,(odd),____1
6,29,(*(*(+20)7)(+(*1(*4(+79)))4)),952,2,(o(o(odd)d)(o(od(od(odd)))d)),________2_4____________644_82
4,13,(*(+(*00)0)1),0,0,(o(o(odd)d)d),________0_0_0
6,29,(*(*(+00)7)(+(*1(*4(+79)))4)),0,0,(o(o(odd)d)(o(od(od(odd)))d)),________0_0____________644_80
4,13,(*(+(*01)2)0),0,0,(o(o(odd)d)d),________0_2_0
1,1,2,2,2,d,_
3,9,(+(*00)0),0,0,(o(odd)d),______0_0
3,9,(+(+33)2),8,8,(o(odd)d),______6_8
2,5,(+22),4,4,(odd),____4
2,5,(*26),12,2,(odd),____2
5,17,(*(*5(*1(*67)))2),420,0,(o(od(od(odd)))d),____________220_0
3,13,(*(*11)(*67)),42,2,(o(odd)(odd)),______1____22
1,1,6,6,6,d,_
2,5,(+99),18,8,(odd),____8
2,5,(+40),4,4,(odd),____4
1,1,0,0,0,d,_
4,13,(+(+(+32)0)9),14,4,(o(o(odd)d)d),________5_5_4
2,5,(+26),8,8,(odd),____8
1,1,7,7,7,d,_
2,5,(+09),9,9,(odd),____9
9,37,(+4(*0(+1(+4(*(*98)(+7(*5(+13)))))))),4,4,(od(od(od(od(o(odd)(od(od(odd)))))))),__________________2__________40748904
